dis,sign,add,totalm2,zone,tradeymd,tradef,totalf,state,mainuse,mater,comy,totalbm2,room,hall,health,sep,org,tp,unitp,parkcat,parkm2,parkp,mainbm2,auxbm2,balm2,ele,建物,房地(土地+建物),房地(土地+建物)+車位,住,其他都市土地使用分區,商,住商用,住家用,其他主要用途,商業用,工業用,辦公用,磚造,鋼筋混凝土造,鋼骨造,其他車位類別,坡道平面,機械車位,無車位,tradeyr,buildyr,age,住宅大樓(11層含以上有電梯),公寓(5樓含以下無電梯),華廈(10層含以下有電梯),透天厝,year_average_cpi,year_increase_cpi,med,lat,lng,park_d,park_q,mu_d,mu_q,lib_d,lib_q,mrt_d,mrt_q,edu_d,edu_q,fire_d,fire_q,dead_d,dead_q,pol_d,pol_q,post_d,post_q,hosp_d,hosp_q,fin_d,fin_q
中山區,房地(土地+建物),臺北市中山區中山北路一段８３巷１３號三樓之４,6.91,商,1110926,3,5,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,740129,35.91,1,1,1,1,1,5000000,139237,無車位,0.0,0,26.11,0.0,3.71,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,111,74,37,0,0,1,0,107.12,0.0,567000,25.050075,121.5241003,1,20,1,1,1,1,1,29,1,8,1,4,1,0,1,8,1,9,1,192,1,108
中山區,房地(土地+建物),臺北市中山區建國北路三段１１３巷１９弄３號五樓,24.14,商,1110911,5,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690901,96.85,3,1,2,1,0,12900000,133196,無車位,0.0,0,82.48,0.0,14.37,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,111,69,42,0,1,0,0,107.12,0.0,567000,25.067376,121.536019,1,13,1,0,1,2,1,3,1,5,1,2,1,1,1,1,1,2,1,116,1,19
內湖區,房地(土地+建物),臺北市內湖區內湖路一段６２９巷１０１弄１３號,33.07,住,1110914,1,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,731205,107.12,1,2,2,1,0,9500000,88686,無車位,0.0,0,95.02,8.44,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,111,73,38,0,1,0,0,107.12,0.0,593000,25.0814261,121.5769491,1,20,1,0,1,1,1,5,1,6,1,0,1,0,1,2,1,3,1,93,1,42
中正區,房地(土地+建物),臺北市中正區中華路一段２５號六樓之５,1.2,商,1110907,6,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720815,13.94,1,1,1,1,1,2000000,143472,無車位,0.0,0,8.53,0.0,0.65,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,111,72,39,1,0,0,0,107.12,0.0,659000,25.046216,121.5098564,1,16,1,4,1,1,1,21,1,4,1,2,1,0,1,9,1,10,1,131,1,102
萬華區,房地(土地+建物),臺北市萬華區西昌街１４９號四樓之４,2.98,商,1110908,4,7,華廈(10層含以下有電梯),其他主要用途,鋼筋混凝土造,691001,26.47,1,1,1,1,1,4000000,151114,無車位,0.0,0,17.21,0.0,4.36,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,111,69,42,0,0,1,0,107.12,0.0,446000,25.0395131,121.5007659,1,20,1,0,1,4,1,10,1,10,1,1,1,0,1,7,1,7,1,124,1,31
大同區,房地(土地+建物),臺北市大同區民權西路３００號十三樓之６,17.84,其他都市土地使用分區,1110908,13,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060314,182.14,3,2,3,1,1,39800000,218513,無車位,0.0,0,102.53,5.12,14.73,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,111,106,5,1,0,0,0,107.12,0.0,484000,25.0628539,121.5102628,1,16,1,0,1,3,1,12,1,12,1,2,1,0,1,5,1,5,1,98,1,34
大同區,房地(土地+建物)+車位,臺北市大同區民權西路２６８號十二樓之１,3.39,商,1110904,12,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110209,64.97,0,0,0,0,1,14500000,324202,其他車位類別,25.18,1600000,22.76,1.53,0.0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,111,111,0,1,0,0,0,107.12,0.0,484000,25.0627127,121.512016,1,19,1,0,1,3,1,14,1,14,1,2,1,0,1,5,1,6,1,126,1,41
中正區,房地(土地+建物),臺北市中正區同安街４３巷６弄２號四樓,40.3,住,1110903,4,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750911,149.42000000000002,3,2,2,1,1,29000000,194084,無車位,0.0,0,118.55,0.0,10.22,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,111,75,36,0,1,0,0,107.12,0.0,659000,25.0244752,121.5223292,1,10,1,0,1,2,1,16,1,5,1,0,1,0,1,2,1,5,1,190,1,43
文山區,房地(土地+建物),臺北市文山區木新路二段２９９巷７弄１６號,40.98,住,1110909,1,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,790317,118.41,3,2,2,1,0,22500000,190018,無車位,0.0,0,94.13,13.05,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,111,79,32,0,1,0,0,107.12,0.0,579000,24.982582,121.56646,1,15,1,0,1,2,1,0,1,8,1,1,1,0,1,3,1,3,1,73,1,13
文山區,房地(土地+建物),臺北市文山區木新路二段１５之１號八樓,7.25,住,1110911,8,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841024,30.1,1,0,1,1,1,5460000,181395,無車位,0.0,0,17.96,0.0,3.39,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,111,84,27,1,0,0,0,107.12,0.0,579000,24.9873749,121.5711044,1,15,1,0,1,2,1,0,1,10,1,1,1,0,1,4,1,4,1,51,1,10
文山區,房地(土地+建物),臺北市文山區興隆路二段２０３巷４６號,22.9,住,1110913,1,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,880510,91.05,0,2,1,1,1,19600000,215266,無車位,0.0,0,63.64,0.0,8.5,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,111,88,23,1,0,0,0,107.12,0.0,579000,25.0022551,121.5483957,1,19,1,0,1,1,1,6,1,8,1,0,1,0,1,2,1,2,1,92,1,8
文山區,房地(土地+建物),臺北市文山區木柵路一段８９巷１５弄５號二樓,29.75,住,1110906,2,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,630710,90.76,4,1,1,1,0,9766000,107602,無車位,0.0,0,90.76,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,111,63,48,0,1,0,0,107.12,0.0,579000,24.9873771,121.5467606,1,8,1,0,1,2,1,8,1,7,1,1,1,0,1,3,1,3,1,57,1,14
文山區,房地(土地+建物),臺北市文山區新光路一段９５巷２０號三樓,39.83,住,1110916,3,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750128,113.13,3,2,1,1,0,15000000,132591,無車位,0.0,0,87.78,0.0,17.4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,111,75,36,0,1,0,0,107.12,0.0,579000,24.9911175,121.5746338,1,9,1,0,1,2,1,3,1,10,1,0,1,0,1,1,1,2,1,27,1,9
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路１０５號十七樓之６,5.32,商,1110914,17,26,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050331,107.33,2,1,1,1,1,19680000,183360,坡道平面,33.69,0,42.46,1.04,5.15,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,111,105,6,1,0,0,0,107.12,0.0,446000,25.03923,121.502326,1,18,1,0,1,4,1,12,1,9,1,1,1,0,1,9,1,10,1,132,1,35
萬華區,房地(土地+建物),臺北市萬華區康定路２０號十三樓之５,2.66,商,1110910,13,14,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,900705,33.9,1,1,1,1,1,7780000,229499,無車位,0.0,0,17.41,0.9,0.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,111,90,21,1,0,0,0,107.12,0.0,446000,25.0452926,121.502852,1,10,1,1,1,2,1,9,1,6,1,1,1,0,1,6,1,5,1,88,1,46
大同區,房地(土地+建物),臺北市大同區延平北路三段８３巷８號四樓,28.75,住,1110905,4,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,830101,86.26,2,2,1,1,0,13000000,150707,無車位,0.0,0,86.26,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,111,83,28,0,1,0,0,107.12,0.0,484000,25.0671619,121.5113701,1,15,1,0,1,3,1,9,1,12,1,3,1,0,1,6,1,3,1,98,1,23
萬華區,房地(土地+建物)+車位,臺北市萬華區萬大路４２３巷１１０號九樓,28.14,住,1110914,9,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860415,142.9,3,2,2,1,1,26500000,185444,坡道平面,0.0,0,82.08,0.0,11.33,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,111,86,25,1,0,0,0,107.12,0.0,446000,25.0219014,121.502019,1,9,1,0,1,5,1,0,1,10,1,2,1,0,1,3,1,3,1,160,1,10
萬華區,房地(土地+建物),臺北市萬華區康定路２０號十樓之７,2.66,商,1110905,10,14,住宅大樓(11層含以上有電梯),其他主要用途,鋼筋混凝土造,900705,33.9,2,1,1,1,1,8120000,239528,無車位,0.0,0,17.41,0.9,0.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,111,90,21,1,0,0,0,107.12,0.0,446000,25.0452926,121.502852,1,10,1,1,1,2,1,9,1,6,1,1,1,0,1,6,1,5,1,88,1,46
萬華區,房地(土地+建物)+車位,臺北市萬華區昆明街２３５號三樓之２,13.51,商,1110919,3,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,881224,148.55,2,2,2,1,1,24500000,164928,機械車位,0.0,0,87.23,0.0,9.48,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,111,88,23,1,0,0,0,107.12,0.0,446000,25.0383429,121.5040854,1,13,1,0,1,4,1,13,1,10,1,1,1,0,1,10,1,10,1,136,1,43
大同區,房地(土地+建物)+車位,臺北市大同區華亭街１號十一樓之６,8.35,商,1110921,11,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100611,105.5,1,1,1,1,1,23680000,253840,機械車位,18.91,1700000,48.65,2.9,6.84,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,111,110,1,1,0,0,0,107.12,0.0,484000,25.0522164,121.5133706,1,21,1,3,1,3,1,19,1,9,1,4,1,0,1,14,1,8,1,184,1,114
萬華區,房地(土地+建物),臺北市萬華區康定路４６巷９號六樓之１,3.76,商,1110912,6,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,601006,21.81,1,0,1,1,1,3500000,160477,無車位,0.0,0,17.46,0.0,0.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,111,60,51,0,0,1,0,107.12,0.0,446000,25.0432438,121.5020196,1,12,1,0,1,3,1,9,1,7,1,1,1,0,1,7,1,5,1,103,1,39
萬華區,房地(土地+建物),臺北市萬華區漢口街二段５５號五樓之３,2.48,商,1110908,5,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,691223,21.54,1,0,1,1,1,3680000,170845,無車位,0.0,0,16.64,0.0,0.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,111,69,42,1,0,0,0,107.12,0.0,446000,25.0461263,121.5061691,1,11,1,3,1,2,1,9,1,4,1,2,1,0,1,5,1,7,1,112,1,96
中山區,房地(土地+建物),臺北市中山區新生北路二段６８巷９號十樓之２,4.35,商,1110904,10,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971229,51.84,2,1,1,1,1,13300000,256559,無車位,0.0,0,30.18,3.89,0.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,111,97,14,1,0,0,0,107.12,0.0,567000,25.0565341,121.5268882,1,24,1,0,1,2,1,30,1,11,1,1,1,0,1,5,1,6,1,273,1,131
中山區,房地(土地+建物),臺北市中山區農安街３４號九樓之１３,3.9,商,1110911,9,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,680412,33.31,1,0,1,1,1,5600000,168118,無車位,0.0,0,24.8,0.0,0.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,111,68,43,0,0,1,0,107.12,0.0,567000,25.0647701,121.5268633,1,21,1,1,1,2,1,20,1,5,1,2,1,1,1,4,1,5,1,166,1,48
內湖區,房地(土地+建物),臺北市內湖區康樂街１３６巷３弄２號二樓,8.24,商,1110920,2,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,870122,57.38,1,1,1,1,1,10580000,184385,無車位,0.0,0,36.95,4.18,4.34,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,111,87,24,1,0,0,0,107.12,0.0,593000,25.0721207,121.6187783,1,14,1,0,1,1,1,3,1,5,1,1,1,0,1,2,1,1,1,70,1,4
